to,from,username
1141458404994682881,1212893126609625088,rinademiriii
1141458404994682881,3771183143,rinademiriii
1141458404994682881,1292627557725151232,rinademiriii
1141458404994682881,804736189257449472,rinademiriii
1141458404994682881,251094991,rinademiriii
1141458404994682881,257061962,rinademiriii
1141458404994682881,1291863746189631495,rinademiriii
1141458404994682881,3224630829,rinademiriii
1141458404994682881,410282970,rinademiriii
1141458404994682881,3092073777,rinademiriii
1141458404994682881,1212893126609625088,rinademiriii
1141458404994682881,3771183143,rinademiriii
1141458404994682881,1292627557725151232,rinademiriii
1141458404994682881,804736189257449472,rinademiriii
1141458404994682881,251094991,rinademiriii
1141458404994682881,257061962,rinademiriii
1141458404994682881,1291863746189631495,rinademiriii
1141458404994682881,3224630829,rinademiriii
1141458404994682881,410282970,rinademiriii
1141458404994682881,3092073777,rinademiriii
917815101557747712,1216133292753289216,consp_theor
917815101557747712,815046942,consp_theor
917815101557747712,743589325,consp_theor
917815101557747712,2253414944,consp_theor
917815101557747712,994050170487738368,consp_theor
917815101557747712,509985947,consp_theor
917815101557747712,1341115794,consp_theor
917815101557747712,776510434966966272,consp_theor
917815101557747712,1426069214,consp_theor
917815101557747712,1459924528902008834,consp_theor
1141458404994682881,1212893126609625088,rinademiriii
1141458404994682881,3771183143,rinademiriii
1141458404994682881,1292627557725151232,rinademiriii
1141458404994682881,804736189257449472,rinademiriii
1141458404994682881,251094991,rinademiriii
1141458404994682881,257061962,rinademiriii
1141458404994682881,1291863746189631495,rinademiriii
1141458404994682881,3224630829,rinademiriii
1141458404994682881,410282970,rinademiriii
1141458404994682881,3092073777,rinademiriii
917815101557747712,1216133292753289216,consp_theor
917815101557747712,815046942,consp_theor
917815101557747712,743589325,consp_theor
917815101557747712,2253414944,consp_theor
917815101557747712,994050170487738368,consp_theor
917815101557747712,509985947,consp_theor
917815101557747712,1341115794,consp_theor
917815101557747712,776510434966966272,consp_theor
917815101557747712,1426069214,consp_theor
917815101557747712,1459924528902008834,consp_theor
1176156151894958080,4753993834,UKR26019148
1176156151894958080,951482241514967040,UKR26019148
1176156151894958080,1105745034585038848,UKR26019148
1176156151894958080,344227543,UKR26019148
1176156151894958080,717027311204306944,UKR26019148
1176156151894958080,4924934931,UKR26019148
1176156151894958080,1164225601114378240,UKR26019148
1176156151894958080,2369768550,UKR26019148
1176156151894958080,205132097,UKR26019148
1176156151894958080,780760008438841344,UKR26019148
1141458404994682881,1212893126609625088,rinademiriii
1141458404994682881,3771183143,rinademiriii
1141458404994682881,1292627557725151232,rinademiriii
1141458404994682881,804736189257449472,rinademiriii
1141458404994682881,251094991,rinademiriii
1141458404994682881,257061962,rinademiriii
1141458404994682881,1291863746189631495,rinademiriii
1141458404994682881,3224630829,rinademiriii
1141458404994682881,410282970,rinademiriii
1141458404994682881,3092073777,rinademiriii
917815101557747712,1216133292753289216,consp_theor
917815101557747712,815046942,consp_theor
917815101557747712,743589325,consp_theor
917815101557747712,2253414944,consp_theor
917815101557747712,994050170487738368,consp_theor
917815101557747712,509985947,consp_theor
917815101557747712,1341115794,consp_theor
917815101557747712,776510434966966272,consp_theor
917815101557747712,1426069214,consp_theor
917815101557747712,1459924528902008834,consp_theor
1176156151894958080,4753993834,UKR26019148
1176156151894958080,951482241514967040,UKR26019148
1176156151894958080,1105745034585038848,UKR26019148
1176156151894958080,344227543,UKR26019148
1176156151894958080,717027311204306944,UKR26019148
1176156151894958080,4924934931,UKR26019148
1176156151894958080,1164225601114378240,UKR26019148
1176156151894958080,2369768550,UKR26019148
1176156151894958080,205132097,UKR26019148
1176156151894958080,780760008438841344,UKR26019148
1377921304729432064,1548355271138742275,JanekMazurek
1377921304729432064,734102852,JanekMazurek
1377921304729432064,1568077764745465857,JanekMazurek
1377921304729432064,1212910517804601344,JanekMazurek
1377921304729432064,1290708086131429381,JanekMazurek
1377921304729432064,609496904,JanekMazurek
1377921304729432064,22018221,JanekMazurek
1377921304729432064,893555243715317760,JanekMazurek
1377921304729432064,2730345133,JanekMazurek
1377921304729432064,575961198,JanekMazurek
1141458404994682881,1212893126609625088,rinademiriii
1141458404994682881,3771183143,rinademiriii
1141458404994682881,1292627557725151232,rinademiriii
1141458404994682881,804736189257449472,rinademiriii
1141458404994682881,251094991,rinademiriii
1141458404994682881,257061962,rinademiriii
1141458404994682881,1291863746189631495,rinademiriii
1141458404994682881,3224630829,rinademiriii
1141458404994682881,410282970,rinademiriii
1141458404994682881,3092073777,rinademiriii
917815101557747712,1216133292753289216,consp_theor
917815101557747712,815046942,consp_theor
917815101557747712,743589325,consp_theor
917815101557747712,2253414944,consp_theor
917815101557747712,994050170487738368,consp_theor
917815101557747712,509985947,consp_theor
917815101557747712,1341115794,consp_theor
917815101557747712,776510434966966272,consp_theor
917815101557747712,1426069214,consp_theor
917815101557747712,1459924528902008834,consp_theor
1176156151894958080,4753993834,UKR26019148
1176156151894958080,951482241514967040,UKR26019148
1176156151894958080,1105745034585038848,UKR26019148
